color_space,hog_orient,hog_pix_per_cell,spatial_size,color_hist_bins,reduc_factor,C,gamma,kernel,accuracy,time to predict 100,training time,features vector length,performance
LUV,19,16,16,16,12,5,0.001,rbf,0.99493,0.040166,9.33317,239.0,19.30935
LUV,19,16,16,16,12,10,0.005,linear,0.99127,0.008588,41.66424,239.0,75.11144
LUV,19,16,16,16,12,10,0.005,rbf,0.9955,0.11471,37.3887,239.0,6.95764
LUV,19,16,16,16,12,10,0.001,linear,0.99127,0.007208,52.68163,239.0,89.49182
LUV,19,16,16,16,12,10,0.001,rbf,0.9955,0.036505,8.97313,239.0,21.86306
LUV,19,16,16,16,16,1,0.005,linear,0.98986,0.007968,11.59996,179.0,75.39446
LUV,19,16,16,16,16,1,0.005,rbf,0.9955,0.058524,13.63722,179.0,13.63733
LUV,19,16,16,16,16,1,0.001,linear,0.99099,0.007673,9.96525,179.0,82.88929
LUV,19,16,16,16,16,1,0.001,rbf,0.99184,0.055497,12.46107,179.0,11.96221
LUV,19,16,16,16,16,5,0.005,linear,0.99071,0.006518,31.20992,179.0,96.2084
LUV,19,16,16,16,16,5,0.005,rbf,0.99718,0.051499,12.09952,179.0,16.86084
LUV,19,16,16,16,16,5,0.001,linear,0.99071,0.006448,24.55209,179.0,97.25284
LUV,19,16,16,16,16,5,0.001,rbf,0.99465,0.028776,6.86536,179.0,26.57565
LUV,19,16,16,16,16,10,0.005,linear,0.99155,0.006068,28.38357,179.0,107.81654
LUV,19,16,16,16,16,10,0.005,rbf,0.9969,0.051949,12.08752,179.0,16.48172
LUV,19,16,16,16,16,10,0.001,linear,0.98986,0.006138,38.00078,179.0,97.87277
LUV,19,16,16,16,16,10,0.001,rbf,0.99578,0.027101,5.93275,179.0,29.86652
LUV,19,32,16,16,8,1,0.005,linear,0.9817,0.007546,7.87799,130.0,52.62871
LUV,19,32,16,16,8,1,0.005,rbf,0.98902,0.03842,9.40518,130.0,14.98637
LUV,19,32,16,16,8,1,0.001,linear,0.98114,0.007588,8.59108,130.0,50.86532
LUV,19,32,16,16,8,1,0.001,rbf,0.98142,0.045529,10.59683,130.0,8.59918
LUV,19,32,16,16,8,5,0.005,linear,0.98086,0.007067,23.48945,130.0,53.84137
LUV,19,32,16,16,8,5,0.005,rbf,0.99184,0.029339,7.39443,130.0,22.62745
LUV,19,32,16,16,8,5,0.001,linear,0.98283,0.006955,29.55922,130.0,60.48157
LUV,19,32,16,16,8,5,0.001,rbf,0.98705,0.02444,6.27979,130.0,21.3234
LUV,19,32,16,16,8,10,0.005,linear,0.98283,0.006856,34.55135,130.0,61.35492
LUV,19,32,16,16,8,10,0.005,rbf,0.99099,0.028143,7.02788,130.0,22.59921
LUV,19,32,16,16,8,10,0.001,linear,0.97945,0.006969,58.52636,130.0,50.80928
LUV,19,32,16,16,8,10,0.001,rbf,0.98874,0.01978,5.13765,130.0,28.6998
LUV,19,32,16,16,12,1,0.005,linear,0.98114,0.006096,7.24791,87.0,63.31464
LUV,19,32,16,16,12,1,0.005,rbf,0.98846,0.02299,5.38618,87.0,24.34535
LUV,19,32,16,16,12,1,0.001,linear,0.98001,0.005927,6.48382,87.0,61.47385
LUV,19,32,16,16,12,1,0.001,rbf,0.97776,0.034534,7.974,87.0,9.40517
LUV,19,32,16,16,12,5,0.005,linear,0.97973,0.00542,16.84512,87.0,66.27062
LUV,19,32,16,16,12,5,0.005,rbf,0.99184,0.014487,3.67746,87.0,45.825
LUV,19,32,16,16,12,5,0.001,linear,0.98029,0.005617,16.80761,87.0,65.79974
LUV,19,32,16,16,12,5,0.001,rbf,0.98283,0.018541,4.30454,87.0,22.68752
LUV,19,32,16,16,12,10,0.005,linear,0.98086,0.005308,24.23105,87.0,71.68368
LUV,19,32,16,16,12,10,0.005,rbf,0.9924,0.013628,3.33742,87.0,50.10784
LUV,19,32,16,16,12,10,0.001,linear,0.97945,0.005364,29.17317,87.0,66.01228
LUV,19,32,16,16,12,10,0.001,rbf,0.98452,0.014585,3.52194,87.0,31.42829
LUV,19,32,16,16,16,1,0.005,linear,0.97438,0.005772,5.79123,65.0,47.32512
LUV,19,32,16,16,16,1,0.005,rbf,0.98761,0.017457,3.78097,65.0,30.71173
LUV,19,32,16,16,16,1,0.001,linear,0.9741,0.005589,5.35767,65.0,48.17737
LUV,19,32,16,16,16,1,0.001,rbf,0.97241,0.02872,6.25329,65.0,8.5958
LUV,19,32,16,16,16,5,0.005,linear,0.97297,0.005491,15.64047,65.0,46.2723
LUV,19,32,16,16,16,5,0.005,rbf,0.99127,0.01039,2.3773,65.0,62.08441
LUV,19,32,16,16,16,5,0.001,linear,0.97551,0.005519,15.76548,65.0,52.44763
LUV,19,32,16,16,16,5,0.001,rbf,0.97889,0.01612,3.54094,65.0,21.34664
LUV,19,32,16,16,16,10,0.005,linear,0.97354,0.005758,28.31956,65.0,45.43791
LUV,19,32,16,16,16,10,0.005,rbf,0.99155,0.009193,2.25978,65.0,71.16618
LUV,19,32,16,16,16,10,0.001,linear,0.97269,0.005392,29.04565,65.0,46.4486
LUV,19,32,16,16,16,10,0.001,rbf,0.9817,0.012685,2.76035,65.0,31.30755
YCrCb,9,16,16,16,8,1,0.005,linear,0.98902,0.010319,14.2888,223.0,55.79767
YCrCb,9,16,16,16,8,1,0.005,rbf,0.99324,0.109966,23.52496,223.0,6.47816
YCrCb,9,16,16,16,8,1,0.001,linear,0.98677,0.010193,14.77636,223.0,50.40746
YCrCb,9,16,16,16,8,1,0.001,rbf,0.98818,0.075953,16.18954,223.0,7.26538
YCrCb,9,16,16,16,8,5,0.005,linear,0.9893,0.008771,50.45785,223.0,66.58116
YCrCb,9,16,16,16,8,5,0.005,rbf,0.99465,0.105081,34.03428,223.0,7.27763
YCrCb,9,16,16,16,8,5,0.001,linear,0.98789,0.009292,33.68974,223.0,58.52215
YCrCb,9,16,16,16,8,5,0.001,rbf,0.99352,0.042348,9.90675,223.0,17.06074
YCrCb,9,16,16,16,8,10,0.005,linear,0.98846,0.008757,61.2552,223.0,63.91453
YCrCb,9,16,16,16,8,10,0.005,rbf,0.99437,0.115794,38.01928,223.0,6.512
YCrCb,9,16,16,16,8,10,0.001,linear,0.98789,0.008743,45.36271,223.0,62.19694
